family,k,model,depth,mae
global,,baseline_global_mean_loocv,,0.15154581933557298
range,2.0,baseline_cluster_mean_loocv,,0.08333809075451312
range,3.0,baseline_cluster_mean_loocv,,0.06156059680451128
range,4.0,baseline_cluster_mean_loocv,,0.04237216576597745
range,5.0,baseline_cluster_mean_loocv,,0.034743833743011376
quantile,2.0,baseline_cluster_mean_loocv,,0.08817451454144147
quantile,3.0,baseline_cluster_mean_loocv,,0.05596238327674025
quantile,4.0,baseline_cluster_mean_loocv,,0.03988638530615076
quantile,5.0,baseline_cluster_mean_loocv,,0.03749136895062734
range,2.0,dt_classifier_then_cluster_mean,2.0,0.1275363781963968
range,3.0,dt_classifier_then_cluster_mean,2.0,0.16868773235171264
range,4.0,dt_classifier_then_cluster_mean,2.0,0.13248652036028682
range,5.0,dt_classifier_then_cluster_mean,2.0,0.17392918312763922
range,2.0,dt_classifier_then_cluster_mean,3.0,0.12271058003364389
range,3.0,dt_classifier_then_cluster_mean,3.0,0.1307087204070225
range,4.0,dt_classifier_then_cluster_mean,3.0,0.1662778415697824
range,5.0,dt_classifier_then_cluster_mean,3.0,0.15146055232555128
range,2.0,dt_classifier_then_cluster_mean,4.0,0.13233842793124115
range,3.0,dt_classifier_then_cluster_mean,4.0,0.1518561627721264
range,4.0,dt_classifier_then_cluster_mean,4.0,0.14760246333755794
range,5.0,dt_classifier_then_cluster_mean,4.0,0.17106837331516347
range,2.0,dt_classifier_then_cluster_mean,5.0,0.13490480535010535
range,3.0,dt_classifier_then_cluster_mean,5.0,0.15809096101159764
range,4.0,dt_classifier_then_cluster_mean,5.0,0.14732835421342824
range,5.0,dt_classifier_then_cluster_mean,5.0,0.15294378417546658
quantile,2.0,dt_classifier_then_cluster_mean,2.0,0.12671753792792914
quantile,3.0,dt_classifier_then_cluster_mean,2.0,0.1564571368093874
quantile,4.0,dt_classifier_then_cluster_mean,2.0,0.14953587333937204
quantile,5.0,dt_classifier_then_cluster_mean,2.0,0.1119273654714271
quantile,2.0,dt_classifier_then_cluster_mean,3.0,0.12580044498888635
quantile,3.0,dt_classifier_then_cluster_mean,3.0,0.13993212752458264
quantile,4.0,dt_classifier_then_cluster_mean,3.0,0.13844697014842364
quantile,5.0,dt_classifier_then_cluster_mean,3.0,0.1306402862834115
quantile,2.0,dt_classifier_then_cluster_mean,4.0,0.1266235160979316
quantile,3.0,dt_classifier_then_cluster_mean,4.0,0.13690237414668224
quantile,4.0,dt_classifier_then_cluster_mean,4.0,0.1477032183606662
quantile,5.0,dt_classifier_then_cluster_mean,4.0,0.15528908168953948
quantile,2.0,dt_classifier_then_cluster_mean,5.0,0.14738530437183192
quantile,3.0,dt_classifier_then_cluster_mean,5.0,0.14905831539007972
quantile,4.0,dt_classifier_then_cluster_mean,5.0,0.14951589650437447
quantile,5.0,dt_classifier_then_cluster_mean,5.0,0.1525364514496165
regressor,,dt_regressor,2.0,0.13551047975171546
regressor,,dt_regressor,3.0,0.13226239142948834
regressor,,dt_regressor,4.0,0.15313494848729045
regressor,,dt_regressor,5.0,0.14086766313676405
global,2.0,linear_aic_selected_loocv,,0.11846995355699651
global,3.0,linear_aic_selected_loocv,,0.11846995355699651
global,4.0,linear_aic_selected_loocv,,0.11846995355699651
global,5.0,linear_aic_selected_loocv,,0.11846995355699651
